ppm	val
1.82496	0.00709267	
1.82521	0.00666224	
1.82545	0.00623181	
1.8257	0.00767514	
1.82594	0.00754056	
1.82619	0.00553223	
1.82643	0.0051018	
1.82668	0.00605203	
1.82692	0.00700227	
1.82717	0.0057418	
1.82741	0.00448132	
1.82765	0.00410842	
1.8279	0.00373552	
1.82814	0.00355985	
1.82839	0.00496209	
1.82863	0.00504941	
1.82888	0.00355883	
1.82912	0.0030195	
1.82937	0.00248018	
1.82961	0.00325578	
1.82986	0.00403137	
1.8301	0.00250586	
1.83035	0.00255825	
1.83059	0.0046159	
1.83084	0.0040437	
1.83108	0.00236615	
1.83132	0.00226651	
1.83157	0.00295581	
1.83181	0.00364512	
1.83206	0.00377558	
1.8323	0.00390605	
1.83255	0.00492408	
1.83279	0.00436421	
1.83304	0.00420344	
1.83328	0.00404267	
1.83353	0.0027971	
1.83377	0.00312942	
1.83402	0.00485885	
1.83426	0.00501037	
1.8345	0.00614809	
1.83475	0.0072858	
1.83499	0.00781125	
1.83524	0.00833671	
1.83548	0.00807321	
1.83573	0.00780971	
1.83597	0.00877895	
1.83622	0.00974819	
1.83646	0.0103887	
1.83671	0.00945131	
1.83695	0.00859815	
1.8372	0.00932289	
1.83744	0.00817388	
1.83768	0.00702487	
1.83793	0.00722365	
1.83817	0.00584452	
1.83842	0.00466264	
1.83866	0.00611059	
1.83891	0.00658057	
1.83915	0.00705055	
1.8394	0.0068302	
1.83964	0.00503195	
1.83989	0.00412126	
1.84013	0.00478848	
1.84038	0.00446951	
1.84062	0.00415054	
1.84086	0.00426046	
1.84111	0.00437038	
1.84135	0.0044803	
1.8416	0.00459021	
1.84184	0.0036482	
1.84209	0.00270618	
1.84233	0.00255312	
1.84258	0.00240005	
1.84282	0.00239081	
1.84307	0.00238156	
1.84331	0.00316127	
1.84356	0.00394097	
1.8438	0.00393173	
1.84405	0.00392248	
1.84429	0.00391324	
1.84453	0.00390399	
1.84478	0.00409198	
1.84502	0.00427998	
1.84527	0.00446797	
1.84551	0.00465596	
1.84576	0.00390707	
1.846	0.00315819	
1.84625	0.00477615	
1.84649	0.00639412	
1.84674	0.00672182	
1.84698	0.00704952	
1.84723	0.00757446	
1.84747	0.00809941	
1.84771	0.00655335	
1.84796	0.0081631	
1.8482	0.0106604	
1.84845	0.0100019	
1.84869	0.00939891	
1.84894	0.0103738	
1.84918	0.0100666	
1.84943	0.00975949	
1.84967	0.0116713	
1.84992	0.0104272	
1.85016	0.0092818	
1.85041	0.00971429	
1.85065	0.0101057	
1.85089	0.0104971	
1.85114	0.0101981	
1.85138	0.0098992	
1.85163	0.00933728	
1.85187	0.00877536	
1.85212	0.00821343	
1.85236	0.00765151	
1.85261	0.00735257	
1.85285	0.00705363	
1.8531	0.00872707	
1.85334	0.00724471	
1.85359	0.00492408	
1.85383	0.00575926	
1.85408	0.00550963	
1.85432	0.0036821	
1.85456	0.0045707	
1.85481	0.00545929	
1.85505	0.00493435	
1.8553	0.00440941	
1.85554	0.00434469	
1.85579	0.00427998	
1.85603	0.00421526	
1.85628	0.00415054	
1.85652	0.00476948	
1.85677	0.00538841	
1.85701	0.00370624	
1.85726	0.00360197	
1.8575	0.00561801	
1.85774	0.00605614	
1.85799	0.00419317	
1.85823	0.005486	
1.85848	0.00726782	
1.85872	0.00589383	
1.85897	0.00412537	
1.85921	0.00761658	
1.85946	0.00875738	
1.8597	0.00674237	
1.85995	0.00762018	
1.86019	0.00849799	
1.86044	0.00885805	
1.86068	0.00921811	
1.86092	0.00957817	
1.86117	0.00993824	
1.86141	0.0110872	
1.86166	0.0122363	
1.8619	0.0120704	
1.86215	0.0119045	
1.86239	0.0122645	
1.86264	0.0126246	
1.86288	0.0110123	
1.86313	0.0125557	
1.86337	0.0136719	
1.86362	0.0116322	
1.86386	0.0130771	
1.8641	0.014522	
1.86435	0.0129548	
1.86459	0.0145435	
1.86484	0.0150474	
1.86508	0.0139734	
1.86533	0.0161702	
1.86557	0.0152113	
1.86582	0.0137592	
1.86606	0.0175668	
1.86631	0.0189254	
1.86655	0.020284	
1.8668	0.0247326	
1.86704	0.0260254	
1.86729	0.0287154	
1.86753	0.0345611	
1.86777	0.0382372	
1.86802	0.0419134	
1.86826	0.0476523	
1.86851	0.0502354	
1.86875	0.0517008	
1.869	0.0531662	
1.86924	0.0529715	
1.86949	0.0527769	
1.86973	0.0516617	
1.86998	0.0473908	
1.87022	0.0418214	
